symptom,disease
"Reduced Vision, Confused Or Muddled, Feel Unbalanced, Unusual Behaviour, Slurred Speech, Fits Seizure, Feeling Irritable, Lightheaded Or Feeling Dizzy, Seeing Double, Difficulty Speaking and Memory Loss",Cjd
"Reduced Vision, Confused Or Muddled, Feel Unbalanced, Unusual Behaviour, Slurred Speech, Fits Seizure, Feeling Irritable, Lightheaded Or Feeling Dizzy, Seeing Double, Difficulty Speaking and Memory Loss",Major Head Injury
Reduced vision,Retinal detachment
Reduced vision,Pre-eclampsia
Reduced vision,Glaucoma
Reduced vision,Cataract
Reduced vision,Uveitis
Reduced vision,Congenital cataract
"Repetitive Behaviour, Low Mood, Often Falling Over, Food Sticks On Swallowing, Hearing Voices Hallucinations, Unusual Behaviour, Difficulty Concentrating, Visual Hallucinations, Mood Swings, No Interest In Things, Unintentional Passing Of Urine, Difficulty Speaking, Memory Loss and Aggressive Behaviour",Vascular Dementia
"Repetitive Behaviour, Low Mood, Often Falling Over, Food Sticks On Swallowing, Hearing Voices Hallucinations, Unusual Behaviour, Difficulty Concentrating, Visual Hallucinations, Mood Swings, No Interest In Things, Unintentional Passing Of Urine, Difficulty Speaking, Memory Loss and Aggressive Behaviour",Dementia
Right Sided Abdominal Pain and Upper Abdominal Pain,Gallbladder Cancer
Right Sided Abdominal Pain and Upper Abdominal Pain,Gallstone
Right Sided Abdominal Pain and Upper Abdominal Pain,Biliary Cirrhosis
Right Sided Abdominal Pain and Upper Abdominal Pain,Acute Cholecystitis
"Right Sided Abdominal Pain, Upper Abdominal Pain, Itchy Skin, Yellow Skin Eyes, High Temperature and Loss Of Appetite",Hepatitis
"Right Sided Abdominal Pain, Upper Abdominal Pain, Itchy Skin, Yellow Skin Eyes, High Temperature and Loss Of Appetite",Bile Duct Cancer
Right sided abdominal pain,Gallstone
Right sided abdominal pain,Hepatitis
Right sided abdominal pain,Bile duct Cancer
Right sided abdominal pain,Appendicitis
Right sided abdominal pain,Acute cholecystitis
Right sided abdominal pain and Abdominal pain worse on coughing,Appendicitis
Right sided abdominal pain and Abdominal pain worse on coughing,Acute cholecystitis
"Runny Nose, Sore Throat, Swollen Glands In Neck, Blocked Nose, High Temperature, Skin Rash, Difficult Or Painful Swallowing, Cough and Loss Of Appetite",Rubella
"Runny Nose, Sore Throat, Swollen Glands In Neck, Blocked Nose, High Temperature, Skin Rash, Difficult Or Painful Swallowing, Cough and Loss Of Appetite",Roseola
Runny nose,Inflammation of the nose
Runny nose,Croup
Runny nose,Hay fever
Runny nose,Roseola
Runny nose,Allergic rhinitis
Runny nose,Bronchiolitis
Runny nose,Measles
Runny nose,Whooping cough
Runny nose,Fifth Disease
Runny nose,Cold
Runny nose and Watery eyes,Hay fever
Runny nose and Watery eyes,Allergic rhinitis
Runny nose and Watery eyes,Measles
Seeing double,High pressure headache
Seeing double,Cataract
Seeing double,Congenital cataract
Seeing double,Major head injury
Seeing double and Blurred vision,Congenital cataract
Seeing double and Blurred vision,High pressure headache
Seeing double and Blurred vision,Cataract
Seeing double and Reduced vision,Cataract
Seeing double and Reduced vision,Congenital cataract
Seeing double and Vomiting,Major head injury
Seeing double and Vomiting,High pressure headache
"Seeing double, Blurred vision and Reduced vision",Cataract
"Seeing double, Blurred vision and Reduced vision",Congenital cataract
Sensation of room spinning,Sensation of room spinning
Sensation of room spinning,Acoustic neuroma
Sensation of room spinning,Ménière's disease
Sensation of room spinning,Inner Ear Inflammation
Sensation of room spinning and Hearing loss in one ear,Acoustic neuroma
Sensation of room spinning and Hearing loss in one ear,Ménière's disease
Sensitive to heat,Overactive Thyroid
Sensitive to heat,Menopause
Severe headache,Brain Cancer
Severe headache,High pressure headache
Severe headache,Subarachnoid haemorrhage
Severe headache,Aneurysm
Severe headache,Cluster headache
Severe headache,Migraine
Severe headache,Temporal arteritis
Severe headache,Pre-eclampsia
Severe headache and Headache getting worse over time,High pressure headache
Severe headache and Headache getting worse over time,Brain Cancer
Severe headache and Headache on waking up,Brain Cancer
Severe headache and Headache on waking up,High pressure headache
Severe headache and Headache that came on suddenly,Cluster headache
Severe headache and Headache that came on suddenly,Aneurysm
Severe headache and Headache that came on suddenly,Migraine
Severe headache and Headache that came on suddenly,Subarachnoid haemorrhage
"Severe headache, Headache getting worse over time and Headache on waking up",Brain Cancer
"Severe headache, Headache getting worse over time and Headache on waking up",High pressure headache
Shivering or rigors,Dengue
Shivering or rigors,Chest infection
Shivering or rigors,Malaria
Shivering or rigors,Pyelonephritis
Shivering or rigors,Diphtheria
Shivering or rigors and Unusually tired,Malaria
Shivering or rigors and Unusually tired,Pyelonephritis
Shivering or rigors and Unusually tired,Diphtheria
Shivering or rigors and Unusually tired,Chest infection
Shortness of breath,Chest infection
Shortness of breath,Croup
Shortness of breath,SVT
Shortness of breath,Lung cancer
Shortness of breath,Acute exacerbation of COPD
Shortness of breath,Bronchiectasis
Shortness of breath,Chronic obstructive lung disease
Shortness of breath,Pulmonary Embolism
Shortness of breath,Asthma
Shortness of breath,Congestive heart failure
Shortness of breath and Blocked nose,Bronchiolitis
Shortness of breath and Blocked nose,Croup
Shortness of breath and Blocked nose,Diphtheria
Shortness of breath and Change of voice,Diphtheria
Shortness of breath and Change of voice,Croup
Shortness of breath and Change of voice,Epiglottitis
"Shortness of breath and Continuous, unexplained weight loss",Lung cancer
"Shortness of breath and Continuous, unexplained weight loss",Chronic Lymphocytic Leukaemia
Shortness of breath and Cough which produces mucus,Chronic obstructive lung disease
Shortness of breath and Cough which produces mucus,Cystic fibrosis
Shortness of breath and Cough which produces mucus,Acute exacerbation of COPD
Shortness of breath and Cough which produces mucus,Chest infection
Shortness of breath and Cough which produces mucus,Bronchiectasis
Shortness of breath and Cough which produces mucus,Acute heart failure
Shortness of breath and Cough which produces mucus,Congestive heart failure
Shortness of breath and Fast or shallow breathing,Severe allergic reaction
Shortness of breath and Fast or shallow breathing,Bronchiolitis
Shortness of breath and Fast or shallow breathing,Croup
Shortness of breath and Fast or shallow breathing,Pulmonary Embolism
Shortness of breath and Fast or shallow breathing,Acute heart failure
Shortness of breath and Fast or shallow breathing,Acute exacerbation of COPD
Shortness of breath and Fast or shallow breathing,SVT
Shortness of breath and Feeding less than usual,Epiglottitis
Shortness of breath and Feeding less than usual,Bronchiolitis
Shortness of breath and Headache,High altitude pulmonary oedema
Shortness of breath and Headache,Diphtheria
Shortness of breath and High temperature,Croup
Shortness of breath and High temperature,Chest infection
Shortness of breath and High temperature,Chronic Lymphocytic Leukaemia
Shortness of breath and High temperature,Pericarditis
Shortness of breath and High temperature,Bronchiolitis
Shortness of breath and High temperature,Diphtheria
"Shortness of breath and Noisy breathing, on breathing in",Croup
"Shortness of breath and Noisy breathing, on breathing in",Epiglottitis
Shortness of breath and Runny nose,Bronchiolitis
Shortness of breath and Runny nose,Diphtheria
Shortness of breath and Runny nose,Croup
Shortness of breath and Shivering or rigors,Chest infection
Shortness of breath and Shivering or rigors,Diphtheria
Shortness of breath and Swollen feet or ankles,Congestive heart failure
Shortness of breath and Swollen feet or ankles,Acute heart failure
Shortness of breath and Unusually tired,Chronic Lymphocytic Leukaemia
Shortness of breath and Unusually tired,Lung cancer
Shortness of breath and Unusually tired,Diphtheria
Shortness of breath and Unusually tired,High altitude pulmonary oedema
Shortness of breath and Unusually tired,SVT
Shortness of breath and Unusually tired,Bronchiectasis
Shortness of breath and Unusually tired,Congestive heart failure
Shortness of breath and Unusually tired,Pericarditis
Shortness of breath and Unusually tired,Chest infection
Shortness of breath and Wheeze (noise on breathing out),Bronchiolitis
Shortness of breath and Wheeze (noise on breathing out),Chronic obstructive lung disease
Shortness of breath and Wheeze (noise on breathing out),Asthma
Shortness of breath and Wheeze (noise on breathing out),Acute exacerbation of COPD
"Shortness of breath, Blocked nose and Change of voice",Diphtheria
"Shortness of breath, Blocked nose and Change of voice",Croup
"Shortness of breath, Blocked nose and Runny nose",Diphtheria
"Shortness of breath, Blocked nose and Runny nose",Croup
"Shortness of breath, Blocked nose and Runny nose",Bronchiolitis
"Shortness of breath, Change of voice and Runny nose",Diphtheria
"Shortness of breath, Change of voice and Runny nose",Croup
"Shortness of breath, Cough which produces mucus and Unusually tired",Chest infection
"Shortness of breath, Cough which produces mucus and Unusually tired",Bronchiectasis
"Shortness of breath, Cough which produces mucus and Unusually tired",Congestive heart failure
"Shortness of breath, Fast or shallow breathing and Blocked nose",Croup
"Shortness of breath, Fast or shallow breathing and Blocked nose",Bronchiolitis
"Shortness of breath, Fast or shallow breathing and Cough which produces mucus",Acute heart failure
"Shortness of breath, Fast or shallow breathing and Cough which produces mucus",Acute exacerbation of COPD
"Shortness of breath, Fast or shallow breathing and Runny nose",Croup
"Shortness of breath, Fast or shallow breathing and Runny nose",Bronchiolitis
"Shortness of breath, Fast or shallow breathing and Wheeze (noise on breathing out)",Bronchiolitis
"Shortness of breath, Fast or shallow breathing and Wheeze (noise on breathing out)",Acute exacerbation of COPD
"Shortness of breath, Headache and Unusually tired",High altitude pulmonary oedema
"Shortness of breath, Headache and Unusually tired",Diphtheria
"Shortness of breath, High temperature and Blocked nose",Diphtheria
"Shortness of breath, High temperature and Blocked nose",Croup
"Shortness of breath, High temperature and Blocked nose",Bronchiolitis
"Shortness of breath, High temperature and Change of voice",Diphtheria
"Shortness of breath, High temperature and Change of voice",Croup
"Shortness of breath, High temperature and Fast or shallow breathing",Croup
"Shortness of breath, High temperature and Fast or shallow breathing",Bronchiolitis
"Shortness of breath, High temperature and Runny nose",Diphtheria
"Shortness of breath, High temperature and Runny nose",Croup
"Shortness of breath, High temperature and Runny nose",Bronchiolitis
"Shortness of breath, High temperature and Shivering or rigors",Chest infection
"Shortness of breath, High temperature and Shivering or rigors",Diphtheria
"Shortness of breath, High temperature and Unusually tired",Chronic Lymphocytic Leukaemia
"Shortness of breath, High temperature and Unusually tired",Chest infection
"Shortness of breath, High temperature and Unusually tired",Diphtheria
"Shortness of breath, High temperature and Unusually tired",Pericarditis
"Shortness of breath, Noisy breathing, on breathing in and Change of voice",Epiglottitis
"Shortness of breath, Noisy breathing, on breathing in and Change of voice",Croup
"Shortness of breath, Shivering or rigors and Unusually tired",Diphtheria
"Shortness of breath, Shivering or rigors and Unusually tired",Chest infection
"Shortness of breath, Swollen feet or ankles and Cough which produces mucus",Congestive heart failure
"Shortness of breath, Swollen feet or ankles and Cough which produces mucus",Acute heart failure
"Shortness of breath, Unusually tired and Continuous, unexplained weight loss",Chronic Lymphocytic Leukaemia
"Shortness of breath, Unusually tired and Continuous, unexplained weight loss",Lung cancer
"Shortness of breath, Wheeze (noise on breathing out) and Cough which produces mucus",Acute exacerbation of COPD
"Shortness of breath, Wheeze (noise on breathing out) and Cough which produces mucus",Chronic obstructive lung disease
Shoulder stiffness,Frozen Shoulder
Shoulder stiffness,Polymyalgia rheumatica
"Single Joint Stiffness, Single Swollen Joint, Pain In One Joint, Swelling Of Knee Joint and Knee Pain",Osteoarthritis
"Single Joint Stiffness, Single Swollen Joint, Pain In One Joint, Swelling Of Knee Joint and Knee Pain",Bursitis
"Single Joint Stiffness, Toe Stiffness, Single Swollen Joint, Pain In One Joint, Swollen Toe, Difficulty Walking and Pain In Toe",Bunion
"Single Joint Stiffness, Toe Stiffness, Single Swollen Joint, Pain In One Joint, Swollen Toe, Difficulty Walking and Pain In Toe",Gout
Single joint stiffness,Bursitis
Single joint stiffness,Bunion
Single joint stiffness,Bacterial arthritis
Single joint stiffness,Repetitive Strain Injury
Single joint stiffness,Osteoarthritis
Single joint stiffness,Gout
Single swollen joint,Bunion
Single swollen joint,Reactive arthritis
Single swollen joint,Bursitis
Single swollen joint,Bacterial arthritis
Single swollen joint,Gout
Single swollen joint,Osteoarthritis
Single swollen joint and Single joint stiffness,Bacterial arthritis
Single swollen joint and Single joint stiffness,Osteoarthritis
Single swollen joint and Single joint stiffness,Gout
Single swollen joint and Single joint stiffness,Bunion
Single swollen joint and Single joint stiffness,Bursitis
Skin rash,Psoriasis
Skin rash,Kawasaki disease
Skin rash,Rubella
Skin rash,Fifth Disease
Skin rash,Scarlet fever
Skin rash,Hand foot and mouth disease
Skin rash,Roseola
Skin rash,Measles
Skin rash and Blocked nose,Measles
Skin rash and Blocked nose,Fifth Disease
Skin rash and Blocked nose,Roseola
Skin rash and Feeling irritable,Measles
Skin rash and Feeling irritable,Kawasaki disease
Skin rash and High temperature,Measles
Skin rash and High temperature,Scarlet fever
Skin rash and High temperature,Hand foot and mouth disease
Skin rash and High temperature,Rubella
Skin rash and High temperature,Fifth Disease
Skin rash and High temperature,Kawasaki disease
Skin rash and High temperature,Roseola
Skin rash and Mouth soreness,Hand foot and mouth disease
Skin rash and Mouth soreness,Kawasaki disease
Skin rash and Red eyes,Kawasaki disease
Skin rash and Red eyes,Measles
Skin rash and Runny nose,Measles
Skin rash and Runny nose,Fifth Disease
Skin rash and Runny nose,Roseola
Skin rash and Sore throat,Scarlet fever
Skin rash and Sore throat,Measles
Skin rash and Sore throat,Roseola
Skin rash and Sore throat,Hand foot and mouth disease
Skin rash and Swollen glands in neck,Rubella
Skin rash and Swollen glands in neck,Kawasaki disease
Skin rash and Swollen tongue with red spots,Kawasaki disease
Skin rash and Swollen tongue with red spots,Scarlet fever
Skin rash and Unusually tired,Scarlet fever
Skin rash and Unusually tired,Measles
Skin rash on cheeks and nose,Fifth Disease
Skin rash on cheeks and nose,Rosacea
"Skin rash, Blocked nose and Runny nose",Measles
"Skin rash, Blocked nose and Runny nose",Fifth Disease
"Skin rash, Blocked nose and Runny nose",Roseola
"Skin rash, Blocked nose and Sore throat",Measles
"Skin rash, Blocked nose and Sore throat",Roseola
"Skin rash, Feeling irritable and Red eyes",Kawasaki disease
"Skin rash, Feeling irritable and Red eyes",Measles
"Skin rash, High temperature and Blocked nose",Fifth Disease
"Skin rash, High temperature and Blocked nose",Roseola
"Skin rash, High temperature and Blocked nose",Measles
"Skin rash, High temperature and Feeling irritable",Kawasaki disease
"Skin rash, High temperature and Feeling irritable",Measles
"Skin rash, High temperature and Mouth soreness",Kawasaki disease
"Skin rash, High temperature and Mouth soreness",Hand foot and mouth disease
"Skin rash, High temperature and Red eyes",Measles
"Skin rash, High temperature and Red eyes",Kawasaki disease
"Skin rash, High temperature and Runny nose",Roseola
"Skin rash, High temperature and Runny nose",Measles
"Skin rash, High temperature and Runny nose",Fifth Disease
"Skin rash, High temperature and Sore throat",Scarlet fever
"Skin rash, High temperature and Sore throat",Measles
"Skin rash, High temperature and Sore throat",Roseola
"Skin rash, High temperature and Sore throat",Hand foot and mouth disease
"Skin rash, High temperature and Swollen glands in neck",Kawasaki disease
"Skin rash, High temperature and Swollen glands in neck",Rubella
"Skin rash, High temperature and Swollen tongue with red spots",Scarlet fever
"Skin rash, High temperature and Swollen tongue with red spots",Kawasaki disease
"Skin rash, High temperature and Unusually tired",Measles
"Skin rash, High temperature and Unusually tired",Scarlet fever
"Skin rash, Sore throat and Runny nose",Roseola
"Skin rash, Sore throat and Runny nose",Measles
"Skin rash, Sore throat and Unusually tired",Measles
"Skin rash, Sore throat and Unusually tired",Scarlet fever
Slurred speech,Alcohol poisoning
Slurred speech,Stroke
Slurred speech,Major head injury
Slurred speech and Confusion which is new,Alcohol poisoning
Slurred speech and Confusion which is new,Major head injury
Slurred speech and Feel unbalanced,Alcohol poisoning
Slurred speech and Feel unbalanced,Major head injury
"Slurred speech, Feel unbalanced and Confusion which is new",Alcohol poisoning
"Slurred speech, Feel unbalanced and Confusion which is new",Major head injury
"Sore Throat, Red Eye S, Feeling Irritable, High Temperature, Skin Rash and Difficult Or Painful Swallowing",Kawasaki Disease
"Sore Throat, Red Eye S, Feeling Irritable, High Temperature, Skin Rash and Difficult Or Painful Swallowing",Measles
Sore throat,Cold
Sore throat,Sore throat
Sore throat,Diphtheria
Sore throat,Scarlet fever
Sore throat,Hand foot and mouth disease
Sore throat,Measles
Sore throat,Laryngitis
Sore throat,Roseola
Sore throat,Glandular Fever
Sore throat,Tonsillitis
Sore throat and Runny nose,Measles
Sore throat and Runny nose,Cold
Sore throat and Runny nose,Roseola
Sore throat and Runny nose,Diphtheria
Sore throat and Unusually tired,Measles
Sore throat and Unusually tired,Scarlet fever
Sore throat and Unusually tired,Glandular Fever
Sore throat and Unusually tired,Diphtheria
Sore throat and Unusually tired,Tonsillitis
"Sore throat, Unusually tired and Runny nose",Diphtheria
"Sore throat, Unusually tired and Runny nose",Measles
Spots moving across field of vision,Uveitis
Spots moving across field of vision,Carcinoma in situ of eye
Spots moving across field of vision,Retinal detachment
Spots moving across field of vision and Blurred vision,Carcinoma in situ of eye
Spots moving across field of vision and Blurred vision,Retinal detachment
Spots moving across field of vision and Blurred vision,Uveitis
Spots moving across field of vision and Eye pain,Uveitis
Spots moving across field of vision and Eye pain,Carcinoma in situ of eye
Spots moving across field of vision and Loss of outer vision,Retinal detachment
Spots moving across field of vision and Loss of outer vision,Uveitis
Spots moving across field of vision and Reduced vision,Retinal detachment
Spots moving across field of vision and Reduced vision,Uveitis
"Spots moving across field of vision, Blurred vision and Eye pain",Carcinoma in situ of eye
"Spots moving across field of vision, Blurred vision and Eye pain",Uveitis
"Spots moving across field of vision, Blurred vision and Reduced vision",Retinal detachment
"Spots moving across field of vision, Blurred vision and Reduced vision",Uveitis
"Spots moving across field of vision, Loss of outer vision and Blurred vision",Retinal detachment
"Spots moving across field of vision, Loss of outer vision and Blurred vision",Uveitis
"Spots moving across field of vision, Loss of outer vision and Reduced vision",Uveitis
"Spots moving across field of vision, Loss of outer vision and Reduced vision",Retinal detachment
Stiff hip,Polymyalgia rheumatica
Stiff hip,Irritable hip
Stiffness in many joints,Psoriatic arthritis
Stiffness in many joints,Polymyalgia rheumatica
Stiffness in many joints,Rheumatoid arthritis
Stiffness in many joints,Reactive arthritis
Stiffness in many joints and Pain in more than one joint,Psoriatic arthritis
Stiffness in many joints and Pain in more than one joint,Rheumatoid arthritis
Stiffness in many joints and Pain in more than one joint,Reactive arthritis
Stiffness in many joints and Swelling of more than one joint,Psoriatic arthritis
Stiffness in many joints and Swelling of more than one joint,Rheumatoid arthritis
"Stiffness in many joints, Pain in more than one joint and Swelling of more than one joint",Psoriatic arthritis
"Stiffness in many joints, Pain in more than one joint and Swelling of more than one joint",Rheumatoid arthritis
"Stomach Cramps, Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Clostridium Difficile Colitis
"Stomach Cramps, Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Salmonella
"Stomach Cramps, Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Irritable Bowel Syndrome
"Stomach Cramps, Feeling Sick Nausea, Diarrhoea and Abdominal Pain",Gastroenteritis
Stomach cramps,Gastroenteritis
Stomach cramps,Crohn's disease
Stomach cramps,Constipation
Stomach cramps,Irritable bowel syndrome
Sudden chest pain,Pericarditis
Sudden chest pain,Heart attack
Sweating,Overactive Thyroid
Sweating,Malaria
Sweating,Fear of open spaces
Sweating,Heart attack
Sweating,Claustrophobia
Swelling of more than one joint,Psoriatic arthritis
Swelling of more than one joint,Systemic sclerosis
Swelling of more than one joint,Rheumatoid arthritis
Swelling of more than one joint,Complex regional pain syndrome
Swelling of the face,Pre-eclampsia
Swelling of the face,Mumps
Swelling of the face,Severe allergic reaction
Swelling of the face,Salivary gland stone
Swelling of the face,Angioedema
Swelling of the face and Swollen feet or ankles,Pre-eclampsia
Swelling of the face and Swollen feet or ankles,Angioedema
Swelling of the face and Swollen lip,Angioedema
Swelling of the face and Swollen lip,Severe allergic reaction
"Swollen Glands In Neck, Swelling Of The Face, High Temperature and Face Pain",Mumps
"Swollen Glands In Neck, Swelling Of The Face, High Temperature and Face Pain",Salivary Gland Stone
Swollen eyelid,Inflammation of eyelids
Swollen eyelid,Stye
Swollen eyelid and Pain on eyelid,Inflammation of eyelids
Swollen eyelid and Pain on eyelid,Stye
Swollen feet or ankles,Varicose veins
Swollen feet or ankles,Nephrotic syndrome
Swollen feet or ankles,Henoch-Schönlein purpura
Swollen feet or ankles,Varicose veins of the leg with eczema
Swollen feet or ankles,Angioedema
Swollen feet or ankles,Venous Ulcer
Swollen feet or ankles,Pre-eclampsia
Swollen feet or ankles,Lymphoedema
Swollen feet or ankles,Congestive heart failure
Swollen feet or ankles,Acute heart failure
Swollen feet or ankles and Cough which produces mucus,Congestive heart failure
Swollen feet or ankles and Cough which produces mucus,Acute heart failure
Swollen feet or ankles and Leg swelling,Lymphoedema
Swollen feet or ankles and Leg swelling,Venous Ulcer
Swollen feet or ankles and Leg swelling,Varicose veins of the leg with eczema
Swollen feet or ankles and Leg swelling,Nephrotic syndrome
Swollen feet or ankles and Leg swelling,Varicose veins
Swollen feet or ankles and Unusually tired,Nephrotic syndrome
Swollen feet or ankles and Unusually tired,Congestive heart failure
Swollen finger,Chilblains
Swollen finger,Rheumatoid arthritis
Swollen finger,Hammer finger
Swollen glands,Syphilis in Men
Swollen glands,Dengue
Swollen glands,Non-Hodgkin's lymphoma
Swollen glands in neck,Glandular Fever
Swollen glands in neck,Mumps
Swollen glands in neck,Rubella
Swollen glands in neck,Kawasaki disease
Swollen glands in neck,Otitis externa
Swollen glands in neck,Nasopharyngeal cancer
Swollen glands in neck,Diphtheria
Swollen glands in neck and Sore throat,Diphtheria
Swollen glands in neck and Sore throat,Glandular Fever
Swollen glands in neck and Unusually tired,Diphtheria
Swollen glands in neck and Unusually tired,Glandular Fever
Swollen glands in neck and Unusually tired,Mumps
"Swollen glands in neck, Sore throat and Unusually tired",Glandular Fever
"Swollen glands in neck, Sore throat and Unusually tired",Diphtheria
Swollen knee,Osteoarthritis
Swollen knee,Bakers cyst
Swollen lip,Angioedema
Swollen lip,Severe allergic reaction
Swollen purple veins on legs,Varicose veins
Swollen purple veins on legs,Varicose veins of the leg with eczema
Swollen purple veins on legs and Leg swelling,Varicose veins of the leg with eczema
Swollen purple veins on legs and Leg swelling,Varicose veins
Swollen purple veins on legs and Swollen feet or ankles,Varicose veins of the leg with eczema
Swollen purple veins on legs and Swollen feet or ankles,Varicose veins
"Swollen purple veins on legs, Swollen feet or ankles and Leg swelling",Varicose veins
"Swollen purple veins on legs, Swollen feet or ankles and Leg swelling",Varicose veins of the leg with eczema
Swollen scrotum or testicle,Chlamydia
Swollen scrotum or testicle,Testicular cancer
Swollen scrotum or testicle,Inguinal hernia
Swollen toe,Bunion
Swollen toe,Gout
Swollen toe and Pain in one joint,Gout
Swollen toe and Pain in one joint,Bunion
Swollen toe and Single joint stiffness,Bunion
Swollen toe and Single joint stiffness,Gout
Swollen toe and Single swollen joint,Gout
Swollen toe and Single swollen joint,Bunion
"Swollen toe, Pain in one joint and Single joint stiffness",Bunion
"Swollen toe, Pain in one joint and Single joint stiffness",Gout
"Swollen toe, Pain in one joint and Single swollen joint",Bunion
"Swollen toe, Pain in one joint and Single swollen joint",Gout
"Swollen toe, Single swollen joint and Single joint stiffness",Bunion
"Swollen toe, Single swollen joint and Single joint stiffness",Gout
Swollen tongue with red spots,Scarlet fever
Swollen tongue with red spots,Kawasaki disease
Teeth grinding,Temporomandibular joint disorder
Teeth grinding,Teeth grinding
Teeth grinding and Jaw pain when eating,Teeth grinding
Teeth grinding and Jaw pain when eating,Temporomandibular joint disorder
Thickened patch of skin,Systemic sclerosis
Thickened patch of skin,Psoriasis
"Tight Chest, Wheeze Noise On Breathing Out and Cough",Asthma Attack
"Tight Chest, Wheeze Noise On Breathing Out, Shortness Of Breath and Cough",Moderate Worsening Of Asthma
Tremor,Essential tremor
Tremor,Parkinson's disease
Tremor,Claustrophobia
"Tremor, Sweating, Feeling Heart Beat, Feeling Sick Nausea, Dizzy Or Lightheaded On Standing Up, Shortness Of Breath, Lightheaded Or Feeling Dizzy, Chest Pain and Anxiety",Pheochromocytoma
"Tremor, Sweating, Feeling Heart Beat, Feeling Sick Nausea, Dizzy Or Lightheaded On Standing Up, Shortness Of Breath, Lightheaded Or Feeling Dizzy, Chest Pain and Anxiety",Fear Of Open Spaces
Unable to completely empty bowels,Constipation
Unable to completely empty bowels,Ulcerative colitis
Unable to talk in full sentences,Asthma Attack
Unable to talk in full sentences,Severe allergic reaction
Unintentional passing of urine,Epilepsy
Unintentional passing of urine,Prostatic enlargement
Unintentional passing of urine,Uterine prolapse
Unintentional passing of urine and Weak flow of urine,Prostatic enlargement
Unintentional passing of urine and Weak flow of urine,Uterine prolapse
Unusual vaginal discharge,Bacterial vaginosis
Unusual vaginal discharge,Carcinoma of cervix
Unusual vaginal discharge,Vaginal thrush
Unusual vaginal discharge,Vaginitis
Unusual vaginal discharge,Vulval Cancer
Unusual vaginal discharge,Pelvic Inflammatory Disease
Unusual vaginal discharge,Gonorrhoea in Women
Unusual vaginal discharge,Genital Herpes in Women
Unusual vaginal discharge,TV in Women
Unusual vaginal discharge,Chlamydia
Unusual vaginal discharge and Bleeding between periods,Chlamydia
Unusual vaginal discharge and Bleeding between periods,Carcinoma of cervix
Unusual vaginal discharge and Bleeding between periods,Pelvic Inflammatory Disease
Unusual vaginal discharge and Difficulty passing urine,Pelvic Inflammatory Disease
Unusual vaginal discharge and Difficulty passing urine,Gonorrhoea in Women
Unusual vaginal discharge and Difficulty passing urine,Chlamydia
Unusual vaginal discharge and Difficulty passing urine,Genital Herpes in Women
Unusual vaginal discharge and Pain during sex,Pelvic Inflammatory Disease
Unusual vaginal discharge and Pain during sex,Chlamydia
Unusual vaginal discharge and Pain in vagina,Vulval Cancer
Unusual vaginal discharge and Pain in vagina,Genital Herpes in Women
Unusual vaginal discharge and Pain in vagina,Vaginitis
Unusual vaginal discharge and Vaginal rash,Vulval Cancer
Unusual vaginal discharge and Vaginal rash,Genital Herpes in Women
"Unusual vaginal discharge, Bleeding between periods and Pain during sex",Pelvic Inflammatory Disease
"Unusual vaginal discharge, Bleeding between periods and Pain during sex",Chlamydia
"Unusual vaginal discharge, Difficulty passing urine and Bleeding between periods",Chlamydia
"Unusual vaginal discharge, Difficulty passing urine and Bleeding between periods",Pelvic Inflammatory Disease
"Unusual vaginal discharge, Difficulty passing urine and Pain during sex",Chlamydia
"Unusual vaginal discharge, Difficulty passing urine and Pain during sex",Pelvic Inflammatory Disease
"Unusual vaginal discharge, Pain in vagina and Vaginal rash",Vulval Cancer
"Unusual vaginal discharge, Pain in vagina and Vaginal rash",Genital Herpes in Women
Unusually thirsty,Type 2 diabetes
Unusually thirsty,Type 1 diabetes
Unusually thirsty,Heat stroke
Unusually tired,Anxiety
Unusually tired,Type 2 diabetes
Unusually tired,Urinary tract infection in children
Unusually tired,Fibromyalgia
Unusually tired,Iron deficiency anaemia
Unusually tired,Hepatitis
Unusually tired,Menopause
Unusually tired,Under-active Thyroid
Unusually tired,Depression
Unusually tired,Fibroid
"Unusually tired and Continuous, unexplained weight loss",Multiple myeloma
"Unusually tired and Continuous, unexplained weight loss",Crohn's disease
"Unusually tired and Continuous, unexplained weight loss",Gluten Intolerance
"Unusually tired and Continuous, unexplained weight loss",Chronic Lymphocytic Leukaemia
"Unusually tired and Continuous, unexplained weight loss",Non-Hodgkin's lymphoma
"Unusually tired and Continuous, unexplained weight loss",Liver cancer
"Unusually tired and Continuous, unexplained weight loss",TB
"Unusually tired and Continuous, unexplained weight loss",Lung cancer
"Unusually tired and Continuous, unexplained weight loss",Pancreatic Cancer
"Unusually tired and Continuous, unexplained weight loss",Type 2 diabetes
Unusually tired and Difficulty sleeping,Depression
Unusually tired and Difficulty sleeping,Menopause
Unusually tired and Runny nose,Measles
Unusually tired and Runny nose,Diphtheria
Unusually tired and Unusually thirsty,Type 2 diabetes
Unusually tired and Unusually thirsty,Type 1 diabetes
Unusually tired and Unusually thirsty,Heat stroke
"Upper Abdominal Pain, Vomiting, Feeling Sick Nausea and Loss Of Appetite",Acute Cholecystitis
